연도,월,지역,태양광 전체 설비용량(MW),풍력 전체 설비용량,ESS연계 태양광 설비용량,ESS연계 풍력 설비용량,태양광ESS 설비용량,풍력ESS 설비용량
2020,5,대전시,11.6,0,0,0,0,0
2020,5,광주시,56.6,0,6.5,0,5,0
2020,5,대구시,36.6,0,6.9,0,6,0
2020,5,세종시,20.7,0,3.5,0,3.3,0
2020,5,울산시,23.8,1.7,0.6,0,0.6,0
2020,5,부산시,59.6,0.8,10.3,0,8.4,0
2020,6,경기도,191.5,5.3,38.6,3,34,0.1
2020,6,강원도,346.8,347.7,128.1,48,118.1,9
2020,6,경상남도,259.4,48.6,66.4,32.8,61.1,5
2020,6,경상북도,445.1,421.2,131.2,126,119.6,35
2020,6,전라남도,1296.7,328,776.7,135.8,673.6,20.3
2020,6,전라북도,305.1,79.5,132,5,109.7,1.2
2020,6,충청남도,607.8,2,237.9,0,206.3,0
2020,6,충청북도,207.1,0,94,0,84.3,0
2020,6,제주도,285.8,291.6,15.7,107,13.7,22.5
2020,6,서울시,12.7,0,0.3,0,0.3,0
2020,6,인천시,32.8,49,10.7,46,10,8
2020,6,대전시,12.1,0,0,0,0,0
2020,6,광주시,56.6,0,6.5,0,5,0
2020,6,대구시,36.6,0,6.9,0,6,0
2020,6,세종시,20.7,0,3.5,0,3.3,0
2020,6,울산시,25.3,1.7,0.6,0,0.6,0
2020,6,부산시,60.9,0.8,9.8,0,8.1,0
2020,7,경기도,192.7,5.3,38.8,3,34.2,0.1
2020,7,강원도,353,347.7,130.7,48,120.2,9
2020,7,경상남도,266.7,48.6,66.4,32.8,61.1,5
2020,7,경상북도,454.4,421.2,131.4,126,119.7,35
2020,7,전라남도,1303.3,328,776.7,135.8,673.6,20.3
2020,7,전라북도,309,79.5,132,5,109.7,1.2
2020,7,충청남도,614.7,2,238.4,0,206.7,0
2020,7,충청북도,207.2,0,94.1,0,84.4,0
2020,7,제주도,279.1,294.6,15.7,107,13.7,22.5
2020,7,서울시,12.7,0,0.3,0,0.3,0
2020,7,인천시,34.8,49,10.7,46,10,8
2020,7,대전시,12.1,0,0,0,0,0
2020,7,광주시,56.6,0,6.5,0,5,0
2020,7,대구시,36.6,0,6.9,0,6,0
2020,7,세종시,20.7,0,3.5,0,3.3,0
2020,7,울산시,25.3,1.7,0.6,0,0.6,0
2020,7,부산시,60.9,0.8,9.8,0,8.1,0
2020,8,경기도,195.7,5.3,38.9,3,34.3,0.1
2020,8,강원도,353.2,347.7,130.9,48,120.3,9
2020,8,경상남도,268.3,48.6,66.5,32.8,61.2,5
2020,8,경상북도,454.4,421.2,131.4,126,119.7,35
2020,8,전라남도,1318.2,328,776.7,135.8,673.6,20.3
2020,8,전라북도,309,79.5,132,5,109.7,1.2
2020,8,충청남도,617.1,2,239.5,0,207.9,0
2020,8,충청북도,207.2,0,94.1,0,84.4,0
2020,8,제주도,279.8,294.6,15.7,107,13.7,22.5
2020,8,서울시,12.7,0,0.3,0,0.3,0
2020,8,인천시,34.8,49,10.7,46,10,8
2020,8,대전시,12.1,0,0,0,0,0
2020,8,광주시,56.6,0,6.5,0,5,0
2020,8,대구시,36.6,0,6.9,0,6,0
2020,8,세종시,20.7,0,3.5,0,3.3,0
2020,8,울산시,26.3,1.7,0.6,0,0.6,0
2020,8,부산시,61.7,0.8,9.8,0,8.1,0
2020,9,경기도,201.2,5.3,38.9,3,34.3,0.1
2020,9,강원도,356.5,390.9,131.4,48,120.3,9
2020,9,경상남도,271.7,48.6,66.5,32.8,61.2,5
2020,9,경상북도,458.9,421.2,131.4,126,119.7,35
2020,9,전라남도,1344.6,328,776.8,135.8,673.7,20.3
2020,9,전라북도,311.4,79.5,132.6,5,110.3,1.2
2020,9,충청남도,621,2,239.5,0,207.9,0
2020,9,충청북도,207.5,0,94.5,0,84.4,0
2020,9,제주도,285.3,294.6,15.7,107,13.7,22.5
2020,9,서울시,12.7,0,0.3,0,0.3,0
2020,9,인천시,34.8,49,10.7,46,10,8
2020,9,대전시,12.1,0,0,0,0,0
2020,9,광주시,56.6,0,6.5,0,5,0
2020,9,대구시,36.6,0,6.9,0,6,0
2020,9,세종시,20.7,0,3.5,0,3.3,0
2020,9,울산시,26.3,1.7,0.6,0,0.6,0
2020,9,부산시,61.8,0.8,9.9,0,8.2,0
2020,10,경기도,204.5,5.3,39.4,3,34.7,0.1
2020,10,강원도,364.2,390.9,131.4,48,120.3,9
2020,10,경상남도,273.9,48.6,66.5,32.8,61.2,5
2020,10,경상북도,463.8,421.2,133.5,126,121.7,35
2020,10,전라남도,1350.9,328,777.9,135.8,674.4,20.3
2020,10,전라북도,312.1,79.5,132.8,5,110.3,1.2
2020,10,충청남도,621,2,239.5,0,207.9,0
2020,10,충청북도,207.7,0,94.7,0,84.6,0
2020,10,제주도,296.9,294.6,15.7,107,13.7,22.5
2020,10,서울시,12.7,0,0.3,0,0.3,0
2020,10,인천시,36.2,49,10.7,46,10,8
2020,10,대전시,12.1,0,0,0,0.1,0
2020,10,광주시,56.6,0,6.5,0,5,0
2020,10,대구시,36.6,0,6.9,0,6,0
2020,10,세종시,20.7,0,3.5,0,3.3,0
2020,10,울산시,26.3,1.7,0.6,0,0.6,0
2020,10,부산시,61.8,0.8,7.1,0,6.2,0
2020,11,경기도,206.8,5.3,39.4,3,34.7,0.1
2020,11,강원도,372.3,439.9,131.4,48,120.3,9
2020,11,경상남도,278.3,48.6,67.4,32.8,62.2,5
2020,11,경상북도,468.5,421.2,133.7,126,121.9,35
2020,11,전라남도,1455.2,328,874.1,135.8,766.6,20.3
2020,11,전라북도,317.1,79.5,133.4,5,110.9,1.2
2020,11,충청남도,623.5,2,238.5,0,207.1,0
2020,11,충청북도,208.2,0,95.2,0,85.1,0
2020,11,제주도,290.8,294.6,15.7,107,13.7,22.5
2020,11,서울시,12.7,0,0.3,0,0.3,0
2020,11,인천시,36.2,49,10.7,46,10,8
2020,11,대전시,12.1,0,0,0,0.1,0
2020,11,광주시,56.6,0,6.5,0,5,0
2020,11,대구시,36.6,0,6.9,0,6,0
2020,11,세종시,20.7,0,3.5,0,3.3,0
2020,11,울산시,26.3,1.7,0.6,0,0.6,0
2020,11,부산시,61.8,0.8,7.1,0,6.2,0
2020,12,경기도,228.6,5.3,44.9,3,40,0.1
2020,12,강원도,395.8,450.7,148.2,48,137.5,9
2020,12,경상남도,279.3,48.6,68.4,32.8,63.2,5
2020,12,경상북도,475.9,421.2,139.6,126,127.3,35
2020,12,전라남도,1501.5,328,908.3,135.8,798.7,20.3
2020,12,전라북도,332.8,79.5,141.2,5,118.8,1.2
2020,12,충청남도,649,2,257.7,0,226.3,0
2020,12,충청북도,216.9,0,97.2,0,87.1,0
2020,12,제주도,293.8,294.6,16.6,107,14.3,22.5
2020,12,서울시,13.4,0,0.3,0,0.3,0
2020,12,인천시,40.8,49,12.4,46,11.5,8
2020,12,대전시,12.1,0,0,0,0.1,0
2020,12,광주시,56.6,0,6.5,0,5,0
2020,12,대구시,38.4,0,6.9,0,6,0
2020,12,세종시,20.7,0,3.5,0,3.3,0
2020,12,울산시,26.4,1.7,4,0,1.8,0
2020,12,부산시,61.8,0.8,7.1,0,6.2,0
